city,city_ascii,province_id,province_name,country
"Studholm","Studholm","","New Brunswick","Canada"
"Sussex","Sussex","","New Brunswick","Canada"
"Sussex Corner","Sussex Corner","","New Brunswick","Canada"
"Tracadie","Tracadie","","New Brunswick","Canada"
"Upham","Upham","","New Brunswick","Canada"
"Upper Miramichi","Upper Miramichi","","New Brunswick","Canada"
"Wakefield","Wakefield","","New Brunswick","Canada"
"Weldford","Weldford","","New Brunswick","Canada"
"Wellington","Wellington","","New Brunswick","Canada"
"Westfield Beach","Westfield Beach","","New Brunswick","Canada"
"Wicklow","Wicklow","","New Brunswick","Canada"
"Wilmot","Wilmot","","New Brunswick","Canada"
"Woodstock","Woodstock","","New Brunswick","Canada"
"Baie Verte","Baie Verte","","Newfoundland and Labrador","Canada"
"Bay Bulls","Bay Bulls","","Newfoundland and Labrador","Canada"
"Bay Roberts","Bay Roberts","","Newfoundland and Labrador","Canada"
"Bishops Falls","Bishops Falls","","Newfoundland and Labrador","Canada"
"Bonavista","Bonavista","","Newfoundland and Labrador","Canada"
"Botwood","Botwood","","Newfoundland and Labrador","Canada"
"Burgeo","Burgeo","","Newfoundland and Labrador","Canada"
"Burin","Burin","","Newfoundland and Labrador","Canada"
"Carbonear","Carbonear","","Newfoundland and Labrador","Canada"
"Centreville-Wareham-Trinity","Centreville-Wareham-Trinity","","Newfoundland and Labrador","Canada"
"Channel-Port aux Basques","Channel-Port aux Basques","","Newfoundland and Labrador","Canada"
"Clarenville","Clarenville","","Newfoundland and Labrador","Canada"
"Clarkes Beach","Clarkes Beach","","Newfoundland and Labrador","Canada"
"Conception Bay South","Conception Bay South","","Newfoundland and Labrador","Canada"
"Corner Brook","Corner Brook","","Newfoundland and Labrador","Canada"
"Deer Lake","Deer Lake","","Newfoundland and Labrador","Canada"
"Dildo","Dildo","","Newfoundland and Labrador","Canada"
"Flat Rock","Flat Rock","","Newfoundland and Labrador","Canada"
"Fogo Island","Fogo Island","","Newfoundland and Labrador","Canada"
"Fortune","Fortune","","Newfoundland and Labrador","Canada"
"Gambo","Gambo","","Newfoundland and Labrador","Canada"
"Gander","Gander","","Newfoundland and Labrador","Canada"
"Glovertown","Glovertown","","Newfoundland and Labrador","Canada"
"Goulds","Goulds","","Newfoundland and Labrador","Canada"
"Grand Bank","Grand Bank","","Newfoundland and Labrador","Canada"
"Grand Falls","Grand Falls","","Newfoundland and Labrador","Canada"
"Happy Valley","Happy Valley","","Newfoundland and Labrador","Canada"
"Harbour Breton","Harbour Breton","","Newfoundland and Labrador","Canada"
"Harbour Grace","Harbour Grace","","Newfoundland and Labrador","Canada"
"Harbour Main-Chapel's Cove-Lakeview","Harbour Main-Chapel's Cove-Lakeview","","Newfoundland and Labrador","Canada"
"Holyrood","Holyrood","","Newfoundland and Labrador","Canada"
"Humbermouth","Humbermouth","","Newfoundland and Labrador","Canada"
"Irishtown-Summerside","Irishtown-Summerside","","Newfoundland and Labrador","Canada"
"Kippens","Kippens","","Newfoundland and Labrador","Canada"
"Labrador City","Labrador City","","Newfoundland and Labrador","Canada"
"Lewisporte","Lewisporte","","Newfoundland and Labrador","Canada"
"Logy Bay-Middle Cove-Outer Cove","Logy Bay-Middle Cove-Outer Cove","","Newfoundland and Labrador","Canada"
"Marystown","Marystown","","Newfoundland and Labrador","Canada"
"Massey Drive","Massey Drive","","Newfoundland and Labrador","Canada"
"Mount Pearl Park","Mount Pearl Park","","Newfoundland and Labrador","Canada"
"Nain","Nain","","Newfoundland and Labrador","Canada"
"New-Wes-Valley","New-Wes-Valley","","Newfoundland and Labrador","Canada"
"Paradise","Paradise","","Newfoundland and Labrador","Canada"
"Pasadena","Pasadena","","Newfoundland and Labrador","Canada"
"Placentia","Placentia","","Newfoundland and Labrador","Canada"
"Portugal Cove-St. Philip's","Portugal Cove-St. Philip's","","Newfoundland and Labrador","Canada"
"Pouch Cove","Pouch Cove","","Newfoundland and Labrador","Canada"
"Spaniards Bay","Spaniards Bay","","Newfoundland and Labrador","Canada"
"Springdale","Springdale","","Newfoundland and Labrador","Canada"
"St. Alban's","St. Alban's","","Newfoundland and Labrador","Canada"
"St. Anthony","St. Anthony","","Newfoundland and Labrador","Canada"
"St. George's","St. George's","","Newfoundland and Labrador","Canada"
"St. John's","St. John's","","Newfoundland and Labrador","Canada"
"St. Lawrence","St. Lawrence","","Newfoundland and Labrador","Canada"
"Stephenville","Stephenville","","Newfoundland and Labrador","Canada"
"Stephenville Crossing","Stephenville Crossing","","Newfoundland and Labrador","Canada"
"Torbay","Torbay","","Newfoundland and Labrador","Canada"
"Trinity Bay North","Trinity Bay North","","Newfoundland and Labrador","Canada"
"Twillingate","Twillingate","","Newfoundland and Labrador","Canada"
"Upper Island Cove","Upper Island Cove","","Newfoundland and Labrador","Canada"
"Victoria","Victoria","","Newfoundland and Labrador","Canada"
"Wabana","Wabana","","Newfoundland and Labrador","Canada"
"Wabush","Wabush","","Newfoundland and Labrador","Canada"
"Witless Bay","Witless Bay","","Newfoundland and Labrador","Canada"
"Behchoko","Behchoko","","Northwest Territories","Canada"
"Fort Simpson","Fort Simpson","","Northwest Territories","Canada"
"Fort Smith","Fort Smith","","Northwest Territories","Canada"
"Hay River","Hay River","","Northwest Territories","Canada"
"Inuvik","Inuvik","","Northwest Territories","Canada"
"Yellowknife","Yellowknife","","Northwest Territories","Canada"
"Amherst","Amherst","","Nova Scotia","Canada"
"Antigonish","Antigonish","","Nova Scotia","Canada"
"Argyle","Argyle","","Nova Scotia","Canada"
"Barrington","Barrington","","Nova Scotia","Canada"
"Berwick","Berwick","","Nova Scotia","Canada"
"Bridgewater","Bridgewater","","Nova Scotia","Canada"
"Cape Breton","Cape Breton","","Nova Scotia","Canada"
"Centreville","Centreville","","Nova Scotia","Canada"
"Chester","Chester","","Nova Scotia","Canada"
"Church Point","Church Point","","Nova Scotia","Canada"
"Digby","Digby","","Nova Scotia","Canada"
"Falmouth","Falmouth","","Nova Scotia","Canada"
"Halifax","Halifax","","Nova Scotia","Canada"
"Inverness","Inverness","","Nova Scotia","Canada"
"Kentville","Kentville","","Nova Scotia","Canada"
"Lantz","Lantz","","Nova Scotia","Canada"
"Lunenburg","Lunenburg","","Nova Scotia","Canada"
"Mahone Bay","Mahone Bay","","Nova Scotia","Canada"
"Middleton","Middleton","","Nova Scotia","Canada"
"New Glasgow","New Glasgow","","Nova Scotia","Canada"
"Oxford","Oxford","","Nova Scotia","Canada"
"Parrsboro","Parrsboro","","Nova Scotia","Canada"
"Pictou","Pictou","","Nova Scotia","Canada"
"Port Hawkesbury","Port Hawkesbury","","Nova Scotia","Canada"
"Queens","Queens","","Nova Scotia","Canada"
"Shelburne","Shelburne","","Nova Scotia","Canada"
"Stellarton","Stellarton","","Nova Scotia","Canada"
"Stewiacke","Stewiacke","","Nova Scotia","Canada"
"Sydney Mines","Sydney Mines","","Nova Scotia","Canada"
"Trenton","Trenton","","Nova Scotia","Canada"
"Truro","Truro","","Nova Scotia","Canada"
"Wedgeport","Wedgeport","","Nova Scotia","Canada"
"Westville","Westville","","Nova Scotia","Canada"
"Windsor","Windsor","","Nova Scotia","Canada"
"Wolfville","Wolfville","","Nova Scotia","Canada"
"Yarmouth","Yarmouth","","Nova Scotia","Canada"
"Arviat","Arviat","","Nunavut","Canada"
"Baker Lake","Baker Lake","","Nunavut","Canada"
"Cambridge Bay","Cambridge Bay","","Nunavut","Canada"
"Cape Dorset","Cape Dorset","","Nunavut","Canada"
"Clyde River","Clyde River","","Nunavut","Canada"
"Gjoa Haven","Gjoa Haven","","Nunavut","Canada"
"Igloolik","Igloolik","","Nunavut","Canada"
"Iqaluit","Iqaluit","","Nunavut","Canada"
"Kugluktuk","Kugluktuk","","Nunavut","Canada"
"Pangnirtung","Pangnirtung","","Nunavut","Canada"
"Pond Inlet","Pond Inlet","","Nunavut","Canada"
"Rankin Inlet","Rankin Inlet","","Nunavut","Canada"
"Repulse Bay","Repulse Bay","","Nunavut","Canada"
"Taloyoak","Taloyoak","","Nunavut","Canada"
"Addington Highlands","Addington Highlands","","Ontario","Canada"
"Adelaide-Metcalfe","Adelaide-Metcalfe","","Ontario","Canada"
"Adjala-Tosorontio","Adjala-Tosorontio","","Ontario","Canada"
"Admaston/Bromley","Admaston/Bromley","","Ontario","Canada"
"Agnes","Agnes","","Ontario","Canada"
"Ajax","Ajax","","Ontario","Canada"
"Alfred and Plantagenet","Alfred and Plantagenet","","Ontario","Canada"
"Algonquin Highlands","Algonquin Highlands","","Ontario","Canada"
"Alnwick/Haldimand","Alnwick/Haldimand","","Ontario","Canada"
"Alvinston","Alvinston","","Ontario","Canada"
"Amaranth","Amaranth","","Ontario","Canada"
"Amherstburg","Amherstburg","","Ontario","Canada"
"Armour","Armour","","Ontario","Canada"
"Armstrong","Armstrong","","Ontario","Canada"
"Arnprior","Arnprior","","Ontario","Canada"
"Arran-Elderslie","Arran-Elderslie","","Ontario","Canada"
"Ashfield-Colborne-Wawanosh","Ashfield-Colborne-Wawanosh","","Ontario","Canada"
"Asphodel-Norwood","Asphodel-Norwood","","Ontario","Canada"
"Assiginack","Assiginack","","Ontario","Canada"
"Athens","Athens","","Ontario","Canada"
"Atikokan","Atikokan","","Ontario","Canada"
"Augusta","Augusta","","Ontario","Canada"
"Aurora","Aurora","","Ontario","Canada"
"Aylmer","Aylmer","","Ontario","Canada"
"Bancroft","Bancroft","","Ontario","Canada"
"Barrie","Barrie","","Ontario","Canada"
"Bayfield","Bayfield","","Ontario","Canada"
"Bayham","Bayham","","Ontario","Canada"
"Beachburg","Beachburg","","Ontario","Canada"
"Beckwith","Beckwith","","Ontario","Canada"
"Belleville","Belleville","","Ontario","Canada"
"Black River-Matheson","Black River-Matheson","","Ontario","Canada"
"Blandford-Blenheim","Blandford-Blenheim","","Ontario","Canada"
"Blind River","Blind River","","Ontario","Canada"
"Bluewater","Bluewater","","Ontario","Canada"
"Bonfield","Bonfield","","Ontario","Canada"
"Bonnechere Valley","Bonnechere Valley","","Ontario","Canada"
"Bracebridge","Bracebridge","","Ontario","Canada"
"Bradford West Gwillimbury","Bradford West Gwillimbury","","Ontario","Canada"
"Brampton","Brampton","","Ontario","Canada"
"Brant","Brant","","Ontario","Canada"
"Brantford","Brantford","","Ontario","Canada"
"Breslau","Breslau","","Ontario","Canada"
"Brighton","Brighton","","Ontario","Canada"
"Brock","Brock","","Ontario","Canada"
"Brockton","Brockton","","Ontario","Canada"
"Brockville","Brockville","","Ontario","Canada"
"Brudenell, Lyndoch and Raglan","Brudenell, Lyndoch and Raglan","","Ontario","Canada"
"Burford","Burford","","Ontario","Canada"
"Burlington","Burlington","","Ontario","Canada"
"Caledon","Caledon","","Ontario","Canada"
"Callander","Callander","","Ontario","Canada"
"Cambridge","Cambridge","","Ontario","Canada"
"Carleton Place","Carleton Place","","Ontario","Canada"
"Carling","Carling","","Ontario","Canada"
"Casselman","Casselman","","Ontario","Canada"
"Cavan Monaghan","Cavan Monaghan","","Ontario","Canada"
"Cedar point","Cedar point","","Ontario","Canada"
"Central Elgin","Central Elgin","","Ontario","Canada"
"Central Frontenac","Central Frontenac","","Ontario","Canada"
"Central Huron","Central Huron","","Ontario","Canada"
"Central Manitoulin","Central Manitoulin","","Ontario","Canada"
"Centre Hastings","Centre Hastings","","Ontario","Canada"
"Centre Wellington","Centre Wellington","","Ontario","Canada"
"Champlain","Champlain","","Ontario","Canada"
"Chapleau","Chapleau","","Ontario","Canada"
"Chatham","Chatham","","Ontario","Canada"
"Chatsworth","Chatsworth","","Ontario","Canada"
"Chisholm","Chisholm","","Ontario","Canada"
"Claremont","Claremont","","Ontario","Canada"
"Clarence-Rockland","Clarence-Rockland","","Ontario","Canada"
"Clarington","Clarington","","Ontario","Canada"
"Clearview","Clearview","","Ontario","Canada"
"Cobalt","Cobalt","","Ontario","Canada"
"Cobourg","Cobourg","","Ontario","Canada"
"Cochrane","Cochrane","","Ontario","Canada"
"Collingwood","Collingwood","","Ontario","Canada"
"Conestogo","Conestogo","","Ontario","Canada"
"Cornwall","Cornwall","","Ontario","Canada"
"Cramahe","Cramahe","","Ontario","Canada"
"Dawn-Euphemia","Dawn-Euphemia","","Ontario","Canada"
"Deep River","Deep River","","Ontario","Canada"
"Deseronto","Deseronto","","Ontario","Canada"
"Douro-Dummer","Douro-Dummer","","Ontario","Canada"
"Drummond/North Elmsley","Drummond/North Elmsley","","Ontario","Canada"
"Dryden","Dryden","","Ontario","Canada"
"DUNDALK","DUNDALK","","Ontario","Canada"
"Dutton/Dunwich","Dutton/Dunwich","","Ontario","Canada"
"DWIGHT","DWIGHT","","Ontario","Canada"
"Dysart et al","Dysart et al","","Ontario","Canada"
"East Ferris","East Ferris","","Ontario","Canada"
"East Garafraxa","East Garafraxa","","Ontario","Canada"
"East Gwillimbury","East Gwillimbury","","Ontario","Canada"
"East Hawkesbury","East Hawkesbury","","Ontario","Canada"
"EAST YORK","EAST YORK","","Ontario","Canada"
"East Zorra-Tavistock","East Zorra-Tavistock","","Ontario","Canada"
"Edwardsburgh/Cardinal","Edwardsburgh/Cardinal","","Ontario","Canada"
"Elizabethtown-Kitley","Elizabethtown-Kitley","","Ontario","Canada"
"Elliot Lake","Elliot Lake","","Ontario","Canada"
"Emo","Emo","","Ontario","Canada"
"Englehart","Englehart","","Ontario","Canada"
"Enniskillen","Enniskillen","","Ontario","Canada"
"Erin","Erin","","Ontario","Canada"
"Espanola","Espanola","","Ontario","Canada"
"Essa","Essa","","Ontario","Canada"
"Essex","Essex","","Ontario","Canada"
"ETOBICOKE","ETOBICOKE","","Ontario","Canada"
"Faraday","Faraday","","Ontario","Canada"
"Fort Erie","Fort Erie","","Ontario","Canada"
"Fort Frances","Fort Frances","","Ontario","Canada"
"French River / Riviere des Francais","French River / Riviere des Francais","","Ontario","Canada"
"Front of Yonge","Front of Yonge","","Ontario","Canada"
"Frontenac Islands","Frontenac Islands","","Ontario","Canada"
"Gananoque","Gananoque","","Ontario","Canada"
"Georgian Bay","Georgian Bay","","Ontario","Canada"
"Georgian Bluffs","Georgian Bluffs","","Ontario","Canada"
"Georgina","Georgina","","Ontario","Canada"
"Goderich","Goderich","","Ontario","Canada"
"gore bay","gore bay","","Ontario","Canada"
"GOULAIS RIVER","GOULAIS RIVER","","Ontario","Canada"
"Grand Valley","Grand Valley","","Ontario","Canada"
"Gravenhurst","Gravenhurst","","Ontario","Canada"
"Greater Madawaska","Greater Madawaska","","Ontario","Canada"
"Greater Napanee","Greater Napanee","","Ontario","Canada"
"Greenstone","Greenstone","","Ontario","Canada"
"Grey Highlands","Grey Highlands","","Ontario","Canada"
"Grimsby","Grimsby","","Ontario","Canada"
"Guelph","Guelph","","Ontario","Canada"
"Guelph/Eramosa","Guelph/Eramosa","","Ontario","Canada"
"Halton Hills","Halton Hills","","Ontario","Canada"
"HAM","HAM","","Ontario","Canada"
"Hamilton","Hamilton","","Ontario","Canada"
"Hamilton Township","Hamilton Township","","Ontario","Canada"
"Hanover","Hanover","","Ontario","Canada"
"Hastings Highlands","Hastings Highlands","","Ontario","Canada"
"Havelock-Belmont-Methuen","Havelock-Belmont-Methuen","","Ontario","Canada"
"Hawkesbury","Hawkesbury","","Ontario","Canada"
"Hearst","Hearst","","Ontario","Canada"
"Hensall","Hensall","","Ontario","Canada"
"Highlands East","Highlands East","","Ontario","Canada"
"Hillsburgh","Hillsburgh","","Ontario","Canada"
"Hindon Hill","Hindon Hill","","Ontario","Canada"
"Horton","Horton","","Ontario","Canada"
"Howick","Howick","","Ontario","Canada"
"Huntsville","Huntsville","","Ontario","Canada"
"Huron East","Huron East","","Ontario","Canada"
"Huron Shores","Huron Shores","","Ontario","Canada"
"Huron-Kinloss","Huron-Kinloss","","Ontario","Canada"
"Ignace","Ignace","","Ontario","Canada"
"Ingersoll","Ingersoll","","Ontario","Canada"
"Innisfil","Innisfil","","Ontario","Canada"
"Iroquois Falls","Iroquois Falls","","Ontario","Canada"
"Kapuskasing","Kapuskasing","","Ontario","Canada"
"Kawartha Lakes","Kawartha Lakes","","Ontario","Canada"
"Kenora","Kenora","","Ontario","Canada"
"Killaloe, Hagarty and Richards","Killaloe, Hagarty and Richards","","Ontario","Canada"
"Kincardine","Kincardine","","Ontario","Canada"
"King","King","","Ontario","Canada"
"Kingston","Kingston","","Ontario","Canada"
"Kingsville","Kingsville","","Ontario","Canada"
"Kirkland Lake","Kirkland Lake","","Ontario","Canada"
"Kitchener","Kitchener","","Ontario","Canada"
"Komoka","Komoka","","Ontario","Canada"
"LAC SEUL","LAC SEUL","","Ontario","Canada"
"Laird","Laird","","Ontario","Canada"
"Lake of Bays","Lake of Bays","","Ontario","Canada"
"Lakeshore","Lakeshore","","Ontario","Canada"
"Lambton Shores","Lambton Shores","","Ontario","Canada"
"Lanark Highlands","Lanark Highlands","","Ontario","Canada"
"Lappe","Lappe","","Ontario","Canada"
"LaSalle","LaSalle","","Ontario","Canada"
"Laurentian Hills","Laurentian Hills","","Ontario","Canada"
"Laurentian Valley","Laurentian Valley","","Ontario","Canada"
"Leamington","Leamington","","Ontario","Canada"
"Leeds and the Thousand Islands","Leeds and the Thousand Islands","","Ontario","Canada"
"Lincoln","Lincoln","","Ontario","Canada"
"London","London","","Ontario","Canada"
"Loyalist","Loyalist","","Ontario","Canada"
"Lucan Biddulph","Lucan Biddulph","","Ontario","Canada"
"Macdonald, Meredith and Aberdeen Additional","Macdonald, Meredith and Aberdeen Additional","","Ontario","Canada"
"Madawaska Valley","Madawaska Valley","","Ontario","Canada"
"Madoc","Madoc","","Ontario","Canada"
"Magnetawan","Magnetawan","","Ontario","Canada"
"Malahide","Malahide","","Ontario","Canada"
"Mallorytown","Mallorytown","","Ontario","Canada"
"Manitouwadge","Manitouwadge","","Ontario","Canada"
"Mapleton","Mapleton","","Ontario","Canada"
"Marathon","Marathon","","Ontario","Canada"
"Markham","Markham","","Ontario","Canada"
"Markstay","Markstay","","Ontario","Canada"
"Marmora and Lake","Marmora and Lake","","Ontario","Canada"
"Mattawa","Mattawa","","Ontario","Canada"
"McDougall","McDougall","","Ontario","Canada"
"McKellar","McKellar","","Ontario","Canada"
"McNab/Braeside","McNab/Braeside","","Ontario","Canada"
"Meaford","Meaford","","Ontario","Canada"
"Melancthon","Melancthon","","Ontario","Canada"
"Merrickville","Merrickville","","Ontario","Canada"
"Middlesex Centre","Middlesex Centre","","Ontario","Canada"
"Midland","Midland","","Ontario","Canada"
"Milton","Milton","","Ontario","Canada"
"Minto","Minto","","Ontario","Canada"
"Mississauga","Mississauga","","Ontario","Canada"
"Mississippi Mills","Mississippi Mills","","Ontario","Canada"
"Mono","Mono","","Ontario","Canada"
"Montague","Montague","","Ontario","Canada"
"Moonbeam","Moonbeam","","Ontario","Canada"
"Moosonee","Moosonee","","Ontario","Canada"
"Morris-Turnberry","Morris-Turnberry","","Ontario","Canada"
"Mulmur","Mulmur","","Ontario","Canada"
"Muskoka Falls","Muskoka Falls","","Ontario","Canada"
"NAPANEE","NAPANEE","","Ontario","Canada"
"Neebing","Neebing","","Ontario","Canada"
"New Tecumseth","New Tecumseth","","Ontario","Canada"
"Newmarket","Newmarket","","Ontario","Canada"
"Niagara Falls","Niagara Falls","","Ontario","Canada"
"Niagara-on-the-Lake","Niagara-on-the-Lake","","Ontario","Canada"
"Nipigon","Nipigon","","Ontario","Canada"
"Nipissing","Nipissing","","Ontario","Canada"
"North Algona Wilberforce","North Algona Wilberforce","","Ontario","Canada"
"North Bay","North Bay","","Ontario","Canada"
"North Dumfries","North Dumfries","","Ontario","Canada"
"North Dundas","North Dundas","","Ontario","Canada"
"North Frontenac","North Frontenac","","Ontario","Canada"
"North Glengarry","North Glengarry","","Ontario","Canada"
"North Grenville","North Grenville","","Ontario","Canada"
"North Huron","North Huron","","Ontario","Canada"
"North Kawartha","North Kawartha","","Ontario","Canada"
"North Middlesex","North Middlesex","","Ontario","Canada"
"North Perth","North Perth","","Ontario","Canada"
"North Stormont","North Stormont","","Ontario","Canada"
"Northeastern Manitoulin and the Islands","Northeastern Manitoulin and the Islands","","Ontario","Canada"
"Northern Bruce Peninsula","Northern Bruce Peninsula","","Ontario","Canada"
"Norwich","Norwich","","Ontario","Canada"
"Oakville","Oakville","","Ontario","Canada"
"Oliver Paipoonge","Oliver Paipoonge","","Ontario","Canada"
"OMEMEE","OMEMEE","","Ontario","Canada"
"Orangeville","Orangeville","","Ontario","Canada"
"Orillia","Orillia","","Ontario","Canada"
"Oro-Medonte","Oro-Medonte","","Ontario","Canada"
"Oshawa","Oshawa","","Ontario","Canada"
"Otonabee-South Monaghan","Otonabee-South Monaghan","","Ontario","Canada"
"Ottawa","Ottawa","","Ontario","Canada"
"Owen Sound","Owen Sound","","Ontario","Canada"
"Papineau-Cameron","Papineau-Cameron","","Ontario","Canada"
"Parry Sound","Parry Sound","","Ontario","Canada"
"Pelham","Pelham","","Ontario","Canada"
"Pembroke","Pembroke","","Ontario","Canada"
"Penetanguishene","Penetanguishene","","Ontario","Canada"
"Perry","Perry","","Ontario","Canada"
"Perth","Perth","","Ontario","Canada"
"Perth East","Perth East","","Ontario","Canada"
"Perth South","Perth South","","Ontario","Canada"
"Petawawa","Petawawa","","Ontario","Canada"
"Peterborough","Peterborough","","Ontario","Canada"
"Petrolia","Petrolia","","Ontario","Canada"
"Pickering","Pickering","","Ontario","Canada"
"Plantagenet","Plantagenet","","Ontario","Canada"
"Plympton-Wyoming","Plympton-Wyoming","","Ontario","Canada"
"Point Edward","Point Edward","","Ontario","Canada"
"Port Colborne","Port Colborne","","Ontario","Canada"
"Port Hope","Port Hope","","Ontario","Canada"
"Powassan","Powassan","","Ontario","Canada"
"Prescott","Prescott","","Ontario","Canada"
"Prince","Prince","","Ontario","Canada"
"Puslinch","Puslinch","","Ontario","Canada"
"Quinte West","Quinte West","","Ontario","Canada"
"Ramara","Ramara","","Ontario","Canada"
"Red Lake","Red Lake","","Ontario","Canada"
"Renfrew","Renfrew","","Ontario","Canada"
"Richmond Hill","Richmond Hill","","Ontario","Canada"
"Rideau Lakes","Rideau Lakes","","Ontario","Canada"
"Russell","Russell","","Ontario","Canada"
"Sables-Spanish Rivers","Sables-Spanish Rivers","","Ontario","Canada"
"Sagamok","Sagamok","","Ontario","Canada"
"Sarnia","Sarnia","","Ontario","Canada"
"Saugeen Shores","Saugeen Shores","","Ontario","Canada"
"Sault Ste. Marie","Sault Ste. Marie","","Ontario","Canada"
"SCARBOROUGH","SCARBOROUGH","","Ontario","Canada"
"Schreiber","Schreiber","","Ontario","Canada"
"Scugog","Scugog","","Ontario","Canada"
"Seguin","Seguin","","Ontario","Canada"
"Selwyn","Selwyn","","Ontario","Canada"
"Severn","Severn","","Ontario","Canada"
"Shelburne","Shelburne","","Ontario","Canada"
"Shuniah","Shuniah","","Ontario","Canada"
"Sioux Lookout","Sioux Lookout","","Ontario","Canada"
"Sioux Narrows-Nestor Falls","Sioux Narrows-Nestor Falls","","Ontario","Canada"
"Smiths Falls","Smiths Falls","","Ontario","Canada"
"Smooth Rock Falls","Smooth Rock Falls","","Ontario","Canada"
"South Algonquin","South Algonquin","","Ontario","Canada"
"South Bruce","South Bruce","","Ontario","Canada"
"South Bruce Peninsula","South Bruce Peninsula","","Ontario","Canada"
"South Dundas","South Dundas","","Ontario","Canada"
"South Frontenac","South Frontenac","","Ontario","Canada"
"South Glengarry","South Glengarry","","Ontario","Canada"
"South Huron","South Huron","","Ontario","Canada"
"South River","South River","","Ontario","Canada"
"South Stormont","South Stormont","","Ontario","Canada"
"South-West Oxford","South-West Oxford","","Ontario","Canada"
"Southgate","Southgate","","Ontario","Canada"
"Southwest Middlesex","Southwest Middlesex","","Ontario","Canada"
"Southwold","Southwold","","Ontario","Canada"
"Springwater","Springwater","","Ontario","Canada"
"St. Catharines","St. Catharines","","Ontario","Canada"
"St. Clair","St. Clair","","Ontario","Canada"
"St. Joseph","St. Joseph","","Ontario","Canada"
"St. Marys","St. Marys","","Ontario","Canada"
"St. Thomas","St. Thomas","","Ontario","Canada"
"St.-Charles","St.-Charles","","Ontario","Canada"
"Stirling-Rawdon","Stirling-Rawdon","","Ontario","Canada"
"Stone Mills","Stone Mills","","Ontario","Canada"
"Stouffville","Stouffville","","Ontario","Canada"
"Stratford","Stratford","","Ontario","Canada"
"Strathroy-Caradoc","Strathroy-Caradoc","","Ontario","Canada"
"Strong","Strong","","Ontario","Canada"
"Sudbury","Sudbury","","Ontario","Canada"
"Tara","Tara","","Ontario","Canada"
"Tay","Tay","","Ontario","Canada"
"Tay Valley","Tay Valley","","Ontario","Canada"
"Tecumseh","Tecumseh","","Ontario","Canada"
"Temiskaming Shores","Temiskaming Shores","","Ontario","Canada"
"Terrace Bay","Terrace Bay","","Ontario","Canada"
"Thames Centre","Thames Centre","","Ontario","Canada"
"The Blue Mountains","The Blue Mountains","","Ontario","Canada"
"The Nation / La Nation","The Nation / La Nation","","Ontario","Canada"
"Thessalon","Thessalon","","Ontario","Canada"
"Thorold","Thorold","","Ontario","Canada"
"Thorton","Thorton","","Ontario","Canada"
"Thunder Bay","Thunder Bay","","Ontario","Canada"
"Tillsonburg","Tillsonburg","","Ontario","Canada"
"Timmins","Timmins","","Ontario","Canada"
"Tiny","Tiny","","Ontario","Canada"
"Toronto","Toronto","","Ontario","Canada"
"Trent Hills","Trent Hills","","Ontario","Canada"
"Trent Lakes","Trent Lakes","","Ontario","Canada"
"Tweed","Tweed","","Ontario","Canada"
"Tyendinaga","Tyendinaga","","Ontario","Canada"
"Uxbridge","Uxbridge","","Ontario","Canada"
"Vaughan","Vaughan","","Ontario","Canada"
"Wainfleet","Wainfleet","","Ontario","Canada"
"Walkerton","Walkerton","","Ontario","Canada"
"Warwick","Warwick","","Ontario","Canada"
"Wasaga Beach","Wasaga Beach","","Ontario","Canada"
"Waterloo","Waterloo","","Ontario","Canada"
"Wawa","Wawa","","Ontario","Canada"
"Welland","Welland","","Ontario","Canada"
"Wellesley","Wellesley","","Ontario","Canada"
"Wellington","Wellington","","Ontario","Canada"
"Wellington North","Wellington North","","Ontario","Canada"
"West Elgin","West Elgin","","Ontario","Canada"
"West Grey","West Grey","","Ontario","Canada"
"West Lincoln","West Lincoln","","Ontario","Canada"
"West Nipissing / Nipissing Ouest","West Nipissing / Nipissing Ouest","","Ontario","Canada"
"West Perth","West Perth","","Ontario","Canada"
"Whitby","Whitby","","Ontario","Canada"
"Whitewater Region","Whitewater Region","","Ontario","Canada"
"Wilmot","Wilmot","","Ontario","Canada"
"Windsor","Windsor","","Ontario","Canada"
"Woodstock","Woodstock","","Ontario","Canada"
"Woolwich","Woolwich","","Ontario","Canada"
"Zorra","Zorra","","Ontario","Canada"
"Alberton","Alberton","","Prince Edward Island","Canada"
"Charlottetown","Charlottetown","","Prince Edward Island","Canada"
"Cornwall","Cornwall","","Prince Edward Island","Canada"
"Kensington","Kensington","","Prince Edward Island","Canada"
"Malpeque","Malpeque","","Prince Edward Island","Canada"
"Miltonvale Park","Miltonvale Park","","Prince Edward Island","Canada"
"Montague","Montague","","Prince Edward Island","Canada"
"Souris","Souris","","Prince Edward Island","Canada"
"Stratford","Stratford","","Prince Edward Island","Canada"
"Summerside","Summerside","","Prince Edward Island","Canada"
"Acton Vale","Acton Vale","","Quebec","Canada"
"Adstock","Adstock","","Quebec","Canada"
"Akwesasne","Akwesasne","","Quebec","Canada"
"Albanel","Albanel","","Quebec","Canada"
"Alma","Alma","","Quebec","Canada"
"Amherst","Amherst","","Quebec","Canada"
"Amos","Amos","","Quebec","Canada"
"Amqui","Amqui","","Quebec","Canada"
"Amulet","Amulet","","Quebec","Canada"
"Asbestos","Asbestos","","Quebec","Canada"
"Ascot Corner","Ascot Corner","","Quebec","Canada"
"Austin","Austin","","Quebec","Canada"
